Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,125.8805,-52.07,180.0,top
C5,1u,C_0805_2012Metric,120.904,-52.07,0.0,top
D0,LED,D_0805_2012Metric,121.92,-71.146,-90.0,top
D1,LED,D_0805_2012Metric,119.888,-71.146,-90.0,top
D2,LED,D_0805_2012Metric,117.883,-71.146,-90.0,top
D3,LED,D_0805_2012Metric,115.851,-71.146,-90.0,top
D4,LED,D_0805_2012Metric,113.819,-71.146,-90.0,top
D5,LED,D_0805_2012Metric,111.787,-71.146,-90.0,top
D6,LED,D_0805_2012Metric,109.755,-71.146,-90.0,top
D7,LED,D_0805_2012Metric,107.723,-71.146,-90.0,top
D10,1N5819,D_SOD-323,120.904,-50.038,0.0,top
R0,220,R_0805_2012Metric,121.92,-67.59,-90.0,top
R1,220,R_0805_2012Metric,119.888,-67.59,-90.0,top
R2,220,R_0805_2012Metric,117.856,-67.59,-90.0,top
R3,220,R_0805_2012Metric,115.824,-67.59,-90.0,top
R4,220,R_0805_2012Metric,113.792,-67.59,-90.0,top
R5,220,R_0805_2012Metric,111.742,-67.59,-90.0,top
R6,220,R_0805_2012Metric,109.728,-67.59,-90.0,top
R7,220,R_0805_2012Metric,107.696,-67.59,-90.0,top
R8,220,R_0805_2012Metric,125.8805,-50.038,0.0,top
U2,ATtiny1616-M,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,115.57,-53.34,180.0,top
